,Year-Season,Global Temperature,Global Trend,Northern Temperature,Northern Trend,Southern Temperature,Southern Trend
0,2002-1,0.87,0.6857594381035997,1.26,0.8677919227392452,0.51,0.5166154521510097
1,2002-2,0.93,0.6911796631814192,1.02,0.8746069119642432,0.86,0.5207342964322771
2,2002-3,0.73,0.6965998882592387,0.85,0.8814219011892412,0.6,0.5248531407135446
3,2002-4,0.73,0.7020201133370582,0.84,0.8882368904142393,0.62,0.528971984994812
4,2003-1,0.74,0.7074403384148775,0.91,0.8950518796392373,0.59,0.5330908292760795
5,2003-2,0.76,0.712860563492697,0.91,0.9018668688642352,0.62,0.537209673557347
6,2003-3,0.71,0.7182807885705165,0.87,0.9086818580892332,0.57,0.5413285178386145
7,2003-4,0.78,0.723701013648336,1.01,0.9154968473142312,0.57,0.5454473621198819
8,2004-1,0.85,0.7291212387261554,1.1,0.9223118365392292,0.63,0.5495662064011494
9,2004-2,0.69,0.7345414638039749,1.05,0.9291268257642272,0.36,0.5536850506824168
10,2004-3,0.49,0.7399616888817944,0.67,0.9359418149892252,0.32,0.5578038949636843
11,2004-4,0.76,0.7453819139596137,0.93,0.9427568042142233,0.59,0.5619227392449517
12,2005-1,0.84,0.7508021390374332,0.91,0.9495717934392213,0.79,0.5660415835262191
13,2005-2,0.84,0.7562223641152527,1.12,0.9563867826642193,0.57,0.5701604278074867
14,2005-3,0.79,0.7616425891930722,0.98,0.9632017718892172,0.62,0.5742792720887541
15,2005-4,0.96,0.7670628142708916,1.2,0.9700167611142152,0.73,0.5783981163700216
16,2006-1,0.86,0.7724830393487111,1.06,0.9768317503392132,0.66,0.582516960651289
17,2006-2,0.67,0.7779032644265305,0.95,0.9836467395642112,0.41,0.5866358049325565
18,2006-3,0.75,0.7833234895043499,0.91,0.9904617287892092,0.6,0.5907546492138239
19,2006-4,0.8,0.7887437145821694,1.05,0.9972767180142073,0.57,0.5948734934950914
20,2007-1,1.01,0.7941639396599889,1.48,1.0040917072392053,0.6,0.5989923377763589
21,2007-2,0.94,0.7995841647378084,1.2,1.0109066964642033,0.69,0.6031111820576263
22,2007-3,0.77,0.8050043898156278,0.92,1.0177216856892013,0.63,0.6072300263388938
23,2007-4,0.78,0.8104246148934473,1.01,1.0245366749141993,0.57,0.6113488706201612
24,2008-1,0.55,0.8158448399712668,0.72,1.0313516641391973,0.38,0.6154677149014287
25,2008-2,0.71,0.8212650650490861,1.04,1.0381666533641953,0.4,0.6195865591826961
26,2008-3,0.55,0.8266852901269056,0.73,1.0449816425891933,0.39,0.6237054034639636
27,2008-4,0.79,0.8321055152047251,0.89,1.0517966318141911,0.7,0.627824247745231
28,2009-1,0.75,0.8375257402825446,0.95,1.0586116210391894,0.55,0.6319430920264986
29,2009-2,0.74,0.842945965360364,0.84,1.0654266102641872,0.65,0.636061936307766
30,2009-3,0.84,0.8483661904381834,0.81,1.0722415994891852,0.86,0.6401807805890335
31,2009-4,0.82,0.8537864155160029,0.95,1.0790565887141832,0.68,0.6442996248703009
32,2010-1,0.93,0.8592066405938223,1.09,1.0858715779391812,0.76,0.6484184691515684
33,2010-2,1.03,0.8646268656716418,1.38,1.0926865671641792,0.7,0.6525373134328358
34,2010-3,0.81,0.8700470907494613,1.08,1.0995015563891772,0.56,0.6566561577141032
35,2010-4,0.94,0.8754673158272808,1.22,1.1063165456141753,0.69,0.6607750019953708
36,2011-1,0.7,0.8808875409051002,0.83,1.1131315348391733,0.59,0.6648938462766382
37,2011-2,0.74,0.8863077659829197,1.04,1.1199465240641713,0.48,0.6690126905579057
38,2011-3,0.86,0.8917279910607391,0.92,1.1267615132891693,0.79,0.6731315348391731
39,2011-4,0.79,0.8971482161385586,1.0,1.1335765025141673,0.6,0.6772503791204406
40,2012-1,0.66,0.902568441216378,0.86,1.1403914917391653,0.47,0.681369223401708
41,2012-2,0.81,0.9079886662941975,1.19,1.1472064809641633,0.45,0.6854880676829755
42,2012-3,0.71,0.913408891372017,1.03,1.1540214701891613,0.41,0.689606911964243
43,2012-4,0.91,0.9188291164498363,1.09,1.1608364594141594,0.75,0.6937257562455104
44,2013-1,0.81,0.9242493415276558,0.9,1.1676514486391572,0.71,0.6978446005267779
45,2013-2,0.72,0.9296695666054753,0.96,1.1744664378641554,0.5,0.7019634448080454
46,2013-3,0.77,0.9350897916832948,0.86,1.1812814270891532,0.69,0.7060822890893128
47,2013-4,0.91,0.9405100167611142,1.01,1.1880964163141514,0.82,0.7102011333705802
48,2014-1,0.81,0.9459302418389337,1.08,1.1949114055391492,0.57,0.7143199776518477
49,2014-2,0.9,0.9513504669167532,1.31,1.2017263947641472,0.52,0.7184388219331151
50,2014-3,0.78,0.9567706919945727,0.96,1.2085413839891452,0.6,0.7225576662143827
51,2014-4,0.97,0.9621909170723921,1.03,1.2153563732141432,0.9,0.7266765104956501
52,2015-1,1.0,0.9676111421502116,1.38,1.2221713624391413,0.65,0.7307953547769175
53,2015-2,0.9,0.973031367228031,1.31,1.2289863516641393,0.54,0.734914199058185
54,2015-3,0.81,0.9784515923058504,1.1,1.2358013408891373,0.53,0.7390330433394525
55,2015-4,1.06,0.9838718173836699,1.38,1.2426163301141353,0.75,0.7431518876207199
56,2016-1,1.46,0.9892920424614893,2.11,1.2494313193391333,0.88,0.7472707319019873
57,2016-2,1.38,0.9947122675393087,1.92,1.2562463085641313,0.88,0.7513895761832549
58,2016-3,1.05,1.0001324926171282,1.34,1.2630612977891293,0.8,0.7555084204645223
59,2016-4,1.16,1.0055527176949477,1.38,1.2698762870141274,0.96,0.7596272647457898
